[MapPerformanceAudit] Assets/Scenes/map4.unity | objects=4099, activeObjects=466, meshRenderers=3796, activeMeshRenderers=171, activeVerts=3,368,841, activeTris=1,319,515, colliders=3794, activeColliders=173, cameras=1, activeCameras=0, groundChunks=9, groundSourceBackupObjects=626, mapBoundaries=5, missingScripts=0
[MapPerformanceAudit:Heavy] Assets/Scenes/map4.unity | GroundChunks/GroundChunk_-1_-1_3 | mesh=Map4_GroundChunk_-1_-1_3, verts=674,352, tris=257,040
[MapPerformanceAudit:Heavy] Assets/Scenes/map4.unity | GroundChunks/GroundChunk_-1_0_4 | mesh=Map4_GroundChunk_-1_0_4, verts=674,352, tris=257,040
[MapPerformanceAudit:Heavy] Assets/Scenes/map4.unity | GroundChunks/GroundChunk_0_-1_6 | mesh=Map4_GroundChunk_0_-1_6, verts=674,352, tris=257,040
[MapPerformanceAudit:Heavy] Assets/Scenes/map4.unity | GroundChunks/GroundChunk_0_0_7 | mesh=Map4_GroundChunk_0_0_7, verts=674,352, tris=257,040
[MapPerformanceAudit:Heavy] Assets/Scenes/map4.unity | GroundChunks/GroundChunk_-2_-1_0 | mesh=Map4_GroundChunk_-2_-1_0, verts=56,196, tris=21,420
[MapPerformanceAudit:Heavy] Assets/Scenes/map4.unity | GroundChunks/GroundChunk_-2_0_1 | mesh=Map4_GroundChunk_-2_0_1, verts=56,196, tris=21,420
[MapPerformanceAudit:Heavy] Assets/Scenes/map4.unity | GroundChunks/GroundChunk_-1_1_5 | mesh=Map4_GroundChunk_-1_1_5, verts=56,196, tris=21,420
[MapPerformanceAudit:Heavy] Assets/Scenes/map4.unity | GroundChunks/GroundChunk_0_1_8 | mesh=Map4_GroundChunk_0_1_8, verts=56,196, tris=21,420
[MapPerformanceAudit] Assets/Scenes/map7.unity | objects=23836, activeObjects=1091, meshRenderers=22965, activeMeshRenderers=250, activeVerts=4,977,025, activeTris=2,522,382, colliders=7724, activeColliders=149, cameras=1, activeCameras=0, groundChunks=59, groundSourceBackupObjects=1, mapBoundaries=5, missingScripts=0
[MapPerformanceAudit:Heavy] Assets/Scenes/map7.unity | GroundChunks/GroundChunk_-1_-2_4 | mesh=Map7_GroundChunk_-1_-2_4, verts=141,028, tris=70,500
[MapPerformanceAudit:Heavy] Assets/Scenes/map7.unity | GroundChunks/GroundChunk_-1_1_7 | mesh=Map7_GroundChunk_-1_1_7, verts=139,200, tris=69,600
[MapPerformanceAudit:Heavy] Assets/Scenes/map7.unity | GroundChunks/GroundChunk_-1_2_18 | mesh=Map7_GroundChunk_-1_2_18, verts=134,600, tris=67,300
[MapPerformanceAudit:Heavy] Assets/Scenes/map7.unity | GroundChunks/GroundChunk_-1_-3_45 | mesh=Map7_GroundChunk_-1_-3_45, verts=134,600, tris=67,300
[MapPerformanceAudit:Heavy] Assets/Scenes/map7.unity | GroundChunks/GroundChunk_-1_0_6 | mesh=Map7_GroundChunk_-1_0_6, verts=134,428, tris=67,200
[MapPerformanceAudit:Heavy] Assets/Scenes/map7.unity | GroundChunks/GroundChunk_-1_-1_5 | mesh=Map7_GroundChunk_-1_-1_5, verts=134,400, tris=67,200
[MapPerformanceAudit:Heavy] Assets/Scenes/map7.unity | GroundChunks/GroundChunk_1_-2_12 | mesh=Map7_GroundChunk_1_-2_12, verts=130,028, tris=65,000
[MapPerformanceAudit:Heavy] Assets/Scenes/map7.unity | GroundChunks/GroundChunk_-2_-2_0 | mesh=Map7_GroundChunk_-2_-2_0, verts=125,228, tris=62,600
[MapPerformanceAudit] Assets/Scenes/map10.unity | objects=23242, activeObjects=23242, meshRenderers=23087, activeMeshRenderers=20439, activeVerts=4,689,348, activeTris=2,326,840, colliders=22664, activeColliders=22522, cameras=1, activeCameras=1, groundChunks=64, groundSourceBackupObjects=0, mapBoundaries=1, missingScripts=0
[MapPerformanceAudit:Heavy] Assets/Scenes/map10.unity | CombinedGround/Map10_Ground_Chunk_-3_-3 | mesh=Map10_Ground_Chunk_-3_-3, verts=13,000, tris=6,500
[MapPerformanceAudit:Heavy] Assets/Scenes/map10.unity | CombinedGround/Map10_Ground_Chunk_0_-1 | mesh=Map10_Ground_Chunk_0_-1, verts=13,000, tris=6,500
[MapPerformanceAudit:Heavy] Assets/Scenes/map10.unity | CombinedGround/Map10_Ground_Chunk_-3_-2 | mesh=Map10_Ground_Chunk_-3_-2, verts=12,800, tris=6,400
[MapPerformanceAudit:Heavy] Assets/Scenes/map10.unity | CombinedGround/Map10_Ground_Chunk_-3_-1 | mesh=Map10_Ground_Chunk_-3_-1, verts=12,800, tris=6,400
[MapPerformanceAudit:Heavy] Assets/Scenes/map10.unity | CombinedGround/Map10_Ground_Chunk_-3_0 | mesh=Map10_Ground_Chunk_-3_0, verts=12,800, tris=6,400
[MapPerformanceAudit:Heavy] Assets/Scenes/map10.unity | CombinedGround/Map10_Ground_Chunk_-3_1 | mesh=Map10_Ground_Chunk_-3_1, verts=12,800, tris=6,400
[MapPerformanceAudit:Heavy] Assets/Scenes/map10.unity | CombinedGround/Map10_Ground_Chunk_-3_2 | mesh=Map10_Ground_Chunk_-3_2, verts=12,800, tris=6,400
[MapPerformanceAudit:Heavy] Assets/Scenes/map10.unity | CombinedGround/Map10_Ground_Chunk_-2_-3 | mesh=Map10_Ground_Chunk_-2_-3, verts=12,800, tris=6,400
